start;end;shorthand;extended;majmin;majmin_inv
1.58;2.82;"G:min";"G:(b3,5)";"G:min";"G:min"
2.82;3.68;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
3.68;4.9;"G:min";"G:(b3,5)";"G:min";"G:min"
4.9;5.24;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
5.24;6.06;"D:min7";"D:(b3,5,b7)";"D:min";"D:min"
6.06;12.02;"G:min";"G:(b3,5)";"G:min";"G:min"
12.02;13.6;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
13.6;15.96;"G:min";"G:(b3,5)";"G:min";"G:min"
15.96;16.34;"A:7/C#";"A:(3,5,b7)/C#";"A:maj";"A:maj/C#"
16.34;19.3;"D:maj";"D:(3,5)";"D:maj";"D:maj"
19.3;21.06;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
21.06;21.86;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
21.86;3.68;"A:dim/A#";"A:(b3,b5)/A#";"A:min";"A:min/A#"
22.76;24.42;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
24.42;25.22;"G:min7";"G:(b3,5,b7)";"G:min";"G:min"
25.22;25.82;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
25.82;26.12;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
26.12;27.8;"D:min";"D:(b3,5)";"D:min";"D:min"
27.8;28.7;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
28.7;29.42;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
29.42;30.34;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
30.34;31.26;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
31.26;32.14;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
32.14;33.04;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
33.04;34.02;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
34.02;34.84;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
34.84;35.74;"G:(3,5,b7,b9)/B";"G:(3,5,b7,b9)/B";"G:maj";"G:maj/B"
35.74;36.64;"C:min";"C:(b3,5)";"C:min";"C:min"
36.64;37.48;"C:(3,5,b7,b9)/E";"C:(3,5,b7,b9)/E";"C:maj";"C:maj/E"
37.48;38.36;"F:min";"F:(b3,5)";"F:min";"F:min"
38.36;40.8;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
40.8;41.1;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
41.1;41.52;"C:min";"C:(b3,5)";"C:min";"C:min"
41.52;45.42;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
45.42;46.42;"G:min";"G:(b3,5)";"G:min";"G:min"
46.42;48.22;"D:maj";"D:(3,5)";"D:maj";"D:maj"
48.22;53.1;"G:min";"G:(b3,5)";"G:min";"G:min"
53.1;53.46;"A:7/C#";"A:(3,5,b7)/C#";"A:maj";"A:maj/C#"
53.46;56.94;"D:maj";"D:(3,5)";"D:maj";"D:maj"
56.94;58.78;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
58.78;59.68;"D#:maj/A#";"D#:(3,5)/A#";"D#:maj";"D#:maj/A#"
59.68;60.62;"A#:(3,5,b7,b9)";"A#:(3,5,b7,b9)";"A#:maj";"A#:maj"
60.62;61.52;"D#:maj";"D#:(3,5)";"D#:maj";"D#:maj"
61.52;62.48;"D#:(3,5,#6)";"D#:(3,5,#6)";"D#:maj";"D#:maj"
62.48;63.38;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
63.38;64.3;"C:maj";"C:(3,5)";"C:maj";"C:maj"
64.3;64.92;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
64.92;65.22;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
65.22;65.66;"G:maj";"G:(3,5)";"G:maj";"G:maj"
65.66;67.9;"G:min";"G:(b3,5)";"G:min";"G:min"
67.9;71.86;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
71.86;74.56;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
74.56;76.42;"A:(3,b5,b7)/C#";"A:(3,b5,b7)/C#";"A:maj";"A:maj/C#"
76.42;80.52;"D:maj";"D:(3,5)";"D:maj";"D:maj"
80.52;82.36;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
82.36;83.26;"D#:maj/A#";"D#:(3,5)/A#";"D#:maj";"D#:maj/A#"
83.26;84.16;"A#:(3,5,b7,b9)";"A#:(3,5,b7,b9)";"A#:maj";"A#:maj"
84.16;85.08;"D#:maj";"D#:(3,5)";"D#:maj";"D#:maj"
85.08;85.98;"G:(3,b5,b7,b9)/C#";"G:(3,b5,b7,b9)/C#";"G:maj";"G:maj/C#"
85.98;86.94;"F:min/C";"F:(b3,5)/C";"F:min";"F:min/C"
86.94;87.9;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
87.9;88.82;"F:min";"F:(b3,5)";"F:min";"F:min"
88.82;89.7;"D#:(3,5,#6)";"D#:(3,5,#6)";"D#:maj";"D#:maj"
89.7;90.6;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
90.6;91.5;"C:maj";"C:(3,5)";"C:maj";"C:maj"
91.5;92.4;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
92.4;93.18;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
93.18;94.84;"G:maj";"G:(3,5)";"G:maj";"G:maj"
94.84;103.2;"G:min";"G:(b3,5)";"G:min";"G:min"
