start;end;shorthand;extended;majmin;majmin_inv
0.82;1.92;"G:min";"G:(b3,5)";"G:min";"G:min"
1.92;2.58;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
2.58;3.68;"G:min";"G:(b3,5)";"G:min";"G:min"
3.68;3.94;"D:(*3,9)";"D:(*3,9)";"D:maj";"D:maj"
3.94;4.52;"D:min7";"D:(b3,5,b7)";"D:min";"D:min"
4.52;10.08;"G:min";"G:(b3,5)";"G:min";"G:min"
10.08;11.5;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
11.5;13.74;"G:min";"G:(b3,5)";"G:min";"G:min"
13.74;14.04;"A:7/C#";"A:(3,5,b7)/C#";"A:maj";"A:maj/C#"
14.04;16.54;"D:maj";"D:(3,5)";"D:maj";"D:maj"
16.54;18.14;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
18.14;18.96;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
18.96;2.58;"A:dim/A#";"A:(b3,b5)/A#";"A:min";"A:min/A#"
19.74;21.32;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
21.32;22.04;"G:min7";"G:(b3,5,b7)";"G:min";"G:min"
22.04;22.62;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
22.62;22.92;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
22.92;24.58;"D:min";"D:(b3,5)";"D:min";"D:min"
24.58;25.44;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
25.44;26.34;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
26.34;27.22;"E:dim/G";"E:(b3,b5)/G";"E:min";"E:min/G"
27.22;28.06;"F:maj/A";"F:(3,5)/A";"F:maj";"F:maj/A"
28.06;28.96;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
28.96;29.72;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
29.72;30.62;"F#:dim/A";"F#:(b3,b5)/A";"F#:min";"F#:min/A"
30.62;31.46;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
31.46;32.3;"G:(3,5,b7,b9)/B";"G:(3,5,b7,b9)/B";"G:maj";"G:maj/B"
32.3;33.14;"C:min";"C:(b3,5)";"C:min";"C:min"
33.14;33.92;"C:(3,5,b7,b9)/E";"C:(3,5,b7,b9)/E";"C:maj";"C:maj/E"
33.92;34.84;"F:min";"F:(b3,5)";"F:min";"F:min"
34.84;37.08;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
37.08;37.38;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
37.38;37.82;"C:min";"C:(b3,5)";"C:min";"C:min"
37.82;42.16;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
42.16;42.9;"G:min";"G:(b3,5)";"G:min";"G:min"
42.9;44.62;"D:maj";"D:(3,5)";"D:maj";"D:maj"
44.62;48.2;"G:min";"G:(b3,5)";"G:min";"G:min"
