start;end;shorthand;extended;majmin;majmin_inv
0.32;3;"G:maj";"G:(3,5)";"G:maj";"G:maj"
3;4.8;"E:min";"E:(b3,5)";"E:min";"E:min"
4.8;5.1;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
5.1;6.06;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
6.06;7.24;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
7.24;9.46;"G:maj";"G:(3,5)";"G:maj";"G:maj"
9.46;11.62;"G:maj";"G:(3,5)";"G:maj";"G:maj"
11.62;13.86;"E:min";"E:(b3,5)";"E:min";"E:min"
13.86;15.1;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
15.1;16.02;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
16.02;18.2;"G:maj";"G:(3,5)";"G:maj";"G:maj"
18.2;20.36;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
20.36;22.5;"G:maj";"G:(3,5)";"G:maj";"G:maj"
22.5;23.4;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
23.4;24.6;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
24.6;26.84;"G:maj";"G:(3,5)";"G:maj";"G:maj"
26.84;27.84;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
27.84;29.02;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
29.02;31.06;"G:maj";"G:(3,5)";"G:maj";"G:maj"
31.06;31.96;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
31.96;32.58;"E:hdim7";"E:(b3,b5,b7)";"E:min";"E:min"
32.58;33.18;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
33.18;33.48;"E:(3,b5,b7)";"E:(3,b5,b7)";"E:maj";"E:maj"
33.48;34.18;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
34.18;34.8;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
34.8;35.7;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
35.7;36.42;"C:min";"C:(b3,5)";"C:min";"C:min"
36.42;36.72;"D:(3,b5,b7)";"D:(3,b5,b7)";"D:maj";"D:maj"
36.72;37.34;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
37.34;38.14;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
38.14;39.02;"G:hdim7";"G:(b3,b5,b7)";"G:min";"G:min"
39.02;39.62;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
39.62;39.92;"G:(3,b5,b7)";"G:(3,b5,b7)";"G:min";"G:min/G#"
39.92;40.52;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
40.52;40.82;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
40.82;41.72;"G:min/D";"G:(b3,5)/D";"G:min";"G:min/D"
41.72;42.94;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
42.94;43.64;"G:min";"G:(b3,5)";"G:min";"G:min"
43.64;43.94;"A:(3,b5,b7)/G";"A:(3,b5,b7)/G";"A:maj";"A:maj/G"
43.94;45.4;"G:min";"G:(b3,5)";"G:min";"G:min"
45.4;47.58;"G#:maj/C";"G#:(3,5)/C";"G#:maj";"G#:maj/C"
47.58;48.52;"G:min";"G:(b3,5)";"G:min";"G:min"
48.52;48.82;"A:(3,b5,b7)/G";"A:(3,b5,b7)/G";"A:maj";"A:maj/G"
48.82;49.94;"G:min";"G:(b3,5)";"G:min";"G:min"
49.94;52.36;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
52.36;55.4;"G:min";"G:(b3,5)";"G:min";"G:min"
55.4;59.02;"G:maj";"G:(3,5)";"G:maj";"G:maj"
59.02;61.8;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
61.8;64.04;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
64.04;65.24;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
65.24;67.48;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
67.48;67.86;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
