start;end;shorthand;extended;majmin;majmin_inv
0.98;3.54;"G:maj";"G:(3,5)";"G:maj";"G:maj"
3.54;5.56;"E:min";"E:(b3,5)";"E:min";"E:min"
5.56;5.86;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
5.86;6.54;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
6.54;8.28;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
8.28;10.96;"G:maj";"G:(3,5)";"G:maj";"G:maj"
10.96;13.38;"G:maj";"G:(3,5)";"G:maj";"G:maj"
13.38;15.8;"E:min";"E:(b3,5)";"E:min";"E:min"
15.8;17.42;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
17.42;18.32;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
18.32;20.86;"G:maj";"G:(3,5)";"G:maj";"G:maj"
20.86;23.28;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
23.28;25.82;"G:maj";"G:(3,5)";"G:maj";"G:maj"
25.82;26.98;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
26.98;28.2;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
28.2;30.96;"G:maj";"G:(3,5)";"G:maj";"G:maj"
30.96;32.3;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
32.3;33.64;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
33.64;37.06;"G:maj";"G:(3,5)";"G:maj";"G:maj"
37.06;37.96;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
37.96;38.8;"E:hdim7";"E:(b3,b5,b7)";"E:min";"E:min"
38.8;39.18;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
39.18;39.48;"E:(3,b5,b7)";"E:(3,b5,b7)";"E:maj";"E:maj"
39.48;40.24;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
40.24;41.14;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
41.14;41.7;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
41.7;42.3;"C:min";"C:(b3,5)";"C:min";"C:min"
42.3;42.6;"D:(3,b5,b7)";"D:(3,b5,b7)";"D:maj";"D:maj"
42.6;43.4;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
43.4;44.1;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
44.1;44.94;"G:hdim7";"G:(b3,b5,b7)";"G:min";"G:min"
44.94;45.36;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
45.36;45.66;"G:(3,b5,b7)";"G:(3,b5,b7)";"G:min";"G:min/G#"
45.66;46.22;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
46.22;46.52;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
46.52;47.42;"G:min/D";"G:(b3,5)/D";"G:min";"G:min/D"
47.42;48.34;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
48.34;48.94;"G:min";"G:(b3,5)";"G:min";"G:min"
48.94;49.24;"A:(3,b5,b7)/G";"A:(3,b5,b7)/G";"A:maj";"A:maj/G"
49.24;50.3;"G:min";"G:(b3,5)";"G:min";"G:min"
50.3;52.16;"G#:maj/C";"G#:(3,5)/C";"G#:maj";"G#:maj/C"
52.16;52.76;"G:min";"G:(b3,5)";"G:min";"G:min"
52.76;53.06;"A:(3,b5,b7)/G";"A:(3,b5,b7)/G";"A:maj";"A:maj/G"
53.06;54.18;"G:min";"G:(b3,5)";"G:min";"G:min"
54.18;55.82;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
55.82;60.8;"G:min";"G:(b3,5)";"G:min";"G:min"
60.8;66.68;"G:maj";"G:(3,5)";"G:maj";"G:maj"
66.68;67.3;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
67.3;69.86;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
69.86;70.54;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
70.54;72.76;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
72.76;73.16;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
73.16;74.2;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
74.2;76.18;"A:min7/C";"A:(b3,5,b7)/C";"A:min";"A:min/C"
76.18;77.72;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
77.72;81.18;"G:maj";"G:(3,5)";"G:maj";"G:maj"
81.18;84.4;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
84.4;88;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
88;91.86;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
91.86;95.68;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
95.68;99.6;"C:min";"C:(b3,5)";"C:min";"C:min"
99.6;103.26;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
103.26;107.4;"C:min";"C:(b3,5)";"C:min";"C:min"
107.4;111.62;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
111.62;114.54;"A:hdim7/D#";"A:(b3,b5,b7)/D#";"A:min";"A:min/D#"
114.54;116.68;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
116.68;126.86;"G:min";"G:(b3,5)";"G:min";"G:min"
126.86;131.48;"G:maj";"G:(3,5)";"G:maj";"G:maj"
131.48;133.84;"B:7";"B:(3,5,b7)";"B:maj";"B:maj"
133.84;134.58;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
134.58;136.24;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
136.24;139.22;"G:maj";"G:(3,5)";"G:maj";"G:maj"
139.22;141.68;"G:maj";"G:(3,5)";"G:maj";"G:maj"
141.68;144.3;"E:min";"E:(b3,5)";"E:min";"E:min"
144.3;145.88;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
145.88;146.88;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
146.88;149.64;"G:maj";"G:(3,5)";"G:maj";"G:maj"
149.64;152.12;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
152.12;155.04;"G:maj";"G:(3,5)";"G:maj";"G:maj"
155.04;156.4;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
156.4;157.78;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
157.78;160.6;"G:maj";"G:(3,5)";"G:maj";"G:maj"
160.6;162.16;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
162.16;163.62;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
163.62;168.32;"G:maj";"G:(3,5)";"G:maj";"G:maj"
168.32;168.96;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
168.96;169.52;"E:hdim7";"E:(b3,b5,b7)";"E:min";"E:min"
169.52;169.96;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
169.96;170.26;"E:(3,b5,b7)";"E:(3,b5,b7)";"E:maj";"E:maj"
170.26;171.14;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
171.14;171.74;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
171.74;172.64;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
172.64;173.24;"C:min";"C:(b3,5)";"C:min";"C:min"
173.24;173.54;"D:(3,b5,b7)";"D:(3,b5,b7)";"D:maj";"D:maj"
173.54;174.2;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
174.2;175.06;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
175.06;175.96;"G:hdim7";"G:(b3,b5,b7)";"G:min";"G:min"
175.96;176.56;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
176.56;176.86;"G:(3,b5,b7)";"G:(3,b5,b7)";"G:min";"G:min/G#"
176.86;177.32;"F:min/G#";"F:(b3,5)/G#";"F:min";"F:min/G#"
177.32;177.62;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
177.62;178.56;"G:min/D";"G:(b3,5)/D";"G:min";"G:min/D"
178.56;179.54;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
179.54;180.14;"G:min";"G:(b3,5)";"G:min";"G:min"
180.14;180.44;"A:(3,b5,b7)/G";"A:(3,b5,b7)/G";"A:maj";"A:maj/G"
180.44;181.58;"G:min";"G:(b3,5)";"G:min";"G:min"
181.58;183.02;"G#:maj/C";"G#:(3,5)/C";"G#:maj";"G#:maj/C"
183.02;183.62;"G:min";"G:(b3,5)";"G:min";"G:min"
183.62;183.92;"A:(3,b5,b7)/G";"A:(3,b5,b7)/G";"A:maj";"A:maj/G"
183.92;185.22;"G:min";"G:(b3,5)";"G:min";"G:min"
185.22;187.08;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
187.08;191.76;"G:min";"G:(b3,5)";"G:min";"G:min"
191.76;196.62;"G:maj";"G:(3,5)";"G:maj";"G:maj"
196.62;198.36;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
198.36;200.56;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
200.56;201.56;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
201.56;203.78;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
203.78;204.28;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
204.28;205.14;"G:maj/D";"G:(3,5)/D";"G:maj";"G:maj/D"
205.14;207.56;"A:min7/C";"A:(b3,5,b7)/C";"A:min";"A:min/C"
207.56;208.86;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
208.86;212.48;"G:maj";"G:(3,5)";"G:maj";"G:maj"
212.48;215.96;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
215.96;219.72;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
219.72;223.86;"D:7/C";"D:(3,5,b7)/C";"D:maj";"D:maj/C"
223.86;228.7;"G:maj/B";"G:(3,5)/B";"G:maj";"G:maj/B"
228.7;232.58;"C:min";"C:(b3,5)";"C:min";"C:min"
232.58;236.72;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
236.72;241.5;"C:min";"C:(b3,5)";"C:min";"C:min"
241.5;246.38;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
246.38;249.86;"A:hdim7/D#";"A:(b3,b5,b7)/D#";"A:min";"A:min/D#"
249.86;252.56;"D:7";"D:(3,5,b7)";"D:maj";"D:maj"
252.56;273.58;"G:min";"G:(b3,5)";"G:min";"G:min"
