start;end;shorthand;extended;majmin;majmin_inv
0.22;3.56;"F:maj";"F:(3,5)";"F:maj";"F:maj"
3.56;5.3;"C:maj";"C:(3,5)";"C:maj";"C:maj"
5.3;5.8;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
5.8;8.22;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
8.22;10.46;"F:maj";"F:(3,5)";"F:maj";"F:maj"
10.46;11.46;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
11.46;15.9;"F:maj";"F:(3,5)";"F:maj";"F:maj"
15.9;16.9;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
16.9;20.82;"F:maj";"F:(3,5)";"F:maj";"F:maj"
20.82;21.98;"F:maj";"F:(3,5)";"F:maj";"F:maj"
21.98;23.88;"C:maj";"C:(3,5)";"C:maj";"C:maj"
23.88;25.72;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
25.72;28.76;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
28.76;31.26;"F:maj";"F:(3,5)";"F:maj";"F:maj"
31.26;32.84;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
32.84;36.34;"F:maj";"F:(3,5)";"F:maj";"F:maj"
36.34;37.64;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
37.64;41.74;"F:maj";"F:(3,5)";"F:maj";"F:maj"
41.74;42.74;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
42.74;46.32;"F:maj";"F:(3,5)";"F:maj";"F:maj"
46.32;47.58;"D:min";"D:(b3,5)";"D:min";"D:min"
47.58;50.24;"G:min/A#";"G:(b3,5)/A#";"G:min";"G:min/A#"
50.24;50.74;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
50.74;53.38;"G:min";"G:(b3,5)";"G:min";"G:min"
53.38;55.84;"D:min";"D:(b3,5)";"D:min";"D:min"
55.84;57.48;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
57.48;61.3;"D:min";"D:(b3,5)";"D:min";"D:min"
61.3;62.3;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
62.3;66.58;"F:maj";"F:(3,5)";"F:maj";"F:maj"
66.58;70.24;"A:maj/C#";"A:(3,5)/C#";"A:maj";"A:maj/C#"
70.24;71.98;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
71.98;72.48;"F:maj";"F:(3,5)";"F:maj";"F:maj"
72.48;73.48;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
73.48;77.8;"F:maj";"F:(3,5)";"F:maj";"F:maj"
77.8;82.76;"F:min";"F:(b3,5)";"F:min";"F:min"
82.76;87.08;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
87.08;91.92;"F:min";"F:(b3,5)";"F:min";"F:min"
91.92;94.14;"C:maj";"C:(3,5)";"C:maj";"C:maj"
94.14;94.64;"C:min";"C:(b3,5)";"C:min";"C:min"
94.64;95.14;"D#:7/A#";"D#:(3,5,b7)/A#";"D#:maj";"D#:maj/A#"
95.14;96.14;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
96.14;97.8;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
97.8;99.54;"D#:maj";"D#:(3,5)";"D#:maj";"D#:maj"
99.54;100.86;"G#:7";"G#:(3,5,b7)";"G#:maj";"G#:maj"
100.86;104.12;"C#:maj";"C#:(3,5)";"C#:maj";"C#:maj"
104.12;106.36;"G#:maj";"G#:(3,5)";"G#:maj";"G#:maj"
106.36;109.58;"C:7/E";"C:(3,5,b7)/E";"C:maj";"C:maj/E"
109.58;111.9;"F:min";"F:(b3,5)";"F:min";"F:min"
111.9;113.54;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
113.54;118.8;"C#:maj";"C#:(3,5)";"C#:maj";"C#:maj"
118.8;121.56;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
121.56;125.04;"C#:maj";"C#:(3,5)";"C#:maj";"C#:maj"
125.04;129.58;"C:maj";"C:(3,5)";"C:maj";"C:maj"
129.58;131.1;"F:maj";"F:(3,5)";"F:maj";"F:maj"
131.1;132.96;"C:maj";"C:(3,5)";"C:maj";"C:maj"
132.96;135.54;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
135.54;140.06;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
140.06;142.3;"F:maj";"F:(3,5)";"F:maj";"F:maj"
142.3;144.92;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
144.92;148.9;"D:min";"D:(b3,5)";"D:min";"D:min"
148.9;150.2;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
150.2;157.34;"F:maj";"F:(3,5)";"F:maj";"F:maj"
157.34;160.82;"A:maj/C#";"A:(3,5)/C#";"A:maj";"A:maj/C#"
160.82;162.56;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
162.56;163.06;"F:maj";"F:(3,5)";"F:maj";"F:maj"
163.06;164.06;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
164.06;169.06;"F:maj";"F:(3,5)";"F:maj";"F:maj"
169.06;173.06;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
173.06;173.98;"F:maj";"F:(3,5)";"F:maj";"F:maj"
