start;end;shorthand;extended;majmin;majmin_inv
0.52;7.14;"G:min(*3)";"G:(b3,5,*3)";"G:min";"G:min"
7.14;10.48;"G:min";"G:(b3,5)";"G:min";"G:min"
10.48;13.18;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
13.18;14.34;"G:min";"G:(b3,5)";"G:min";"G:min"
14.34;16.58;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
16.58;19.38;"G:min";"G:(b3,5)";"G:min";"G:min"
19.38;20.56;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
20.56;22.66;"G:min";"G:(b3,5)";"G:min";"G:min"
22.66;23.8;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
23.8;35.8;"G:min";"G:(b3,5)";"G:min";"G:min"
35.8;38.46;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
38.46;48.1;"G:min";"G:(b3,5)";"G:min";"G:min"
48.1;51.16;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
51.16;53.1;"G:min";"G:(b3,5)";"G:min";"G:min"
53.1;54.3;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
54.3;54.9;"G:min";"G:(b3,5)";"G:min";"G:min"
54.9;57.72;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
57.72;60.54;"G:min";"G:(b3,5)";"G:min";"G:min"
60.54;61.14;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
61.14;65.06;"G:min";"G:(b3,5)";"G:min";"G:min"
65.06;67;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
67;67.6;"G:min";"G:(b3,5)";"G:min";"G:min"
67.6;70.38;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
70.38;73.2;"G:min";"G:(b3,5)";"G:min";"G:min"
73.2;74.44;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
74.44;89.74;"G:min";"G:(b3,5)";"G:min";"G:min"
89.74;90.44;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
90.44;93.04;"G:min";"G:(b3,5)";"G:min";"G:min"
93.04;94.32;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
94.32;106.92;"G:min";"G:(b3,5)";"G:min";"G:min"
106.92;109.78;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
109.78;119.46;"G:min";"G:(b3,5)";"G:min";"G:min"
119.46;122.34;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
122.34;125.16;"G:min";"G:(b3,5)";"G:min";"G:min"
125.16;125.76;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
125.76;126.36;"G:min";"G:(b3,5)";"G:min";"G:min"
126.36;129.36;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
129.36;132.12;"G:min";"G:(b3,5)";"G:min";"G:min"
132.12;132.72;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
132.72;138.4;"G:min";"G:(b3,5)";"G:min";"G:min"
138.4;139;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
139;139.84;"G:min";"G:(b3,5)";"G:min";"G:min"
139.84;142.46;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
142.46;145.3;"G:min";"G:(b3,5)";"G:min";"G:min"
145.3;145.94;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
145.94;162.9;"G:min";"G:(b3,5)";"G:min";"G:min"
162.9;163.62;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
163.62;166.18;"G:min";"G:(b3,5)";"G:min";"G:min"
166.18;167.42;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
167.42;169.76;"G:min";"G:(b3,5)";"G:min";"G:min"
169.76;170.9;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
170.9;172.92;"G:min";"G:(b3,5)";"G:min";"G:min"
172.92;174.42;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
174.42;179.42;"G:min";"G:(b3,5)";"G:min";"G:min"
179.42;182.56;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
182.56;183.16;"G:min";"G:(b3,5)";"G:min";"G:min"
183.16;185.8;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
185.8;193.88;"G:min";"G:(b3,5)";"G:min";"G:min"
193.88;198.2;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
198.2;205.7;"G:min";"G:(b3,5)";"G:min";"G:min"
