start;end;shorthand;extended;majmin;majmin_inv
2.48;10.36;"G:min(*3)";"G:(b3,5,*3)";"G:min";"G:min"
10.36;13.84;"G:min";"G:(b3,5)";"G:min";"G:min"
13.84;17.02;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
17.02;18.44;"G:min";"G:(b3,5)";"G:min";"G:min"
18.44;21.14;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
21.14;24.14;"G:min";"G:(b3,5)";"G:min";"G:min"
24.14;24.86;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
24.86;27.92;"G:min";"G:(b3,5)";"G:min";"G:min"
27.92;29.22;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
29.22;42.38;"G:min";"G:(b3,5)";"G:min";"G:min"
42.38;45.44;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
45.44;55.66;"G:min";"G:(b3,5)";"G:min";"G:min"
55.66;58.82;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
58.82;61.1;"G:min";"G:(b3,5)";"G:min";"G:min"
61.1;62.42;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
62.42;63.02;"G:min";"G:(b3,5)";"G:min";"G:min"
63.02;65.74;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
65.74;69.14;"G:min";"G:(b3,5)";"G:min";"G:min"
69.14;69.84;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
69.84;75.02;"G:min";"G:(b3,5)";"G:min";"G:min"
75.02;76.04;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
76.04;76.56;"G:min";"G:(b3,5)";"G:min";"G:min"
76.56;79.6;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
79.6;82.74;"G:min";"G:(b3,5)";"G:min";"G:min"
82.74;83.44;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
83.44;100.42;"G:min";"G:(b3,5)";"G:min";"G:min"
100.42;101.02;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
101.02;104.02;"G:min";"G:(b3,5)";"G:min";"G:min"
104.02;105.26;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
105.26;118.28;"G:min";"G:(b3,5)";"G:min";"G:min"
118.28;121.58;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
121.58;132.06;"G:min";"G:(b3,5)";"G:min";"G:min"
132.06;135.16;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
135.16;138.48;"G:min";"G:(b3,5)";"G:min";"G:min"
138.48;139.14;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
139.14;141.28;"G:min";"G:(b3,5)";"G:min";"G:min"
141.28;143.1;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
143.1;146.48;"G:min";"G:(b3,5)";"G:min";"G:min"
146.48;147.16;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
147.16;152.56;"G:min";"G:(b3,5)";"G:min";"G:min"
152.56;153.58;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
153.58;154.18;"G:min";"G:(b3,5)";"G:min";"G:min"
154.18;157;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
157;160.78;"G:min";"G:(b3,5)";"G:min";"G:min"
160.78;161.48;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
161.48;178.94;"G:min";"G:(b3,5)";"G:min";"G:min"
178.94;179.76;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
179.76;182.38;"G:min";"G:(b3,5)";"G:min";"G:min"
182.38;183.56;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
183.56;186.28;"G:min";"G:(b3,5)";"G:min";"G:min"
186.28;187.34;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
187.34;189.8;"G:min";"G:(b3,5)";"G:min";"G:min"
189.8;191;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
191;197.42;"G:min";"G:(b3,5)";"G:min";"G:min"
197.42;200.92;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
200.92;201.58;"G:min";"G:(b3,5)";"G:min";"G:min"
201.58;204.18;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
204.18;213.86;"G:min";"G:(b3,5)";"G:min";"G:min"
213.86;219.32;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
219.32;228.38;"G:min";"G:(b3,5)";"G:min";"G:min"
